Category,Temperature_C,Moisture_percent,Storage_Days,pH,Fat_Percent,Titratable_Acidity,Color_Score,TVBN_Level,Ripeness_Index,Sugar_Content_Percent,Mold_Risk_Index,Temp_Deviation_Neg18,Oil_Rancidity_Index,Hygiene_Score,Risk_Score,Safety_Label
Dairy,6.8,85.5,3,6.41,4.1,0.12,,,,,,,,,38.0,0
Dairy,5.1,87.9,2,6.46,6.2,0.17,,,,,,,,,36.3,0
Dairy,8.0,80.0,5,6.65,6.6,0.15,,,,,,,,,23.3,0
Dairy,4.8,84.1,6,6.61,6.8,0.17,,,,,,,,,32.2,0
Dairy,3.7,88.6,6,6.74,5.9,0.16,,,,,,,,,29.8,0
Dairy,4.0,89.7,5,6.73,6.4,0.13,,,,,,,,,14.1,0
Dairy,3.3,83.1,3,6.69,4.6,0.15,,,,,,,,,33.5,0
Dairy,7.8,87.4,5,6.64,6.4,0.16,,,,,,,,,37.0,0
Dairy,3.2,82.5,2,6.56,5.2,0.15,,,,,,,,,11.4,0
Dairy,6.6,83.3,5,6.62,5.0,0.15,,,,,,,,,10.8,0
Dairy,3.5,80.3,2,6.53,4.4,0.16,,,,,,,,,21.2,0
Dairy,6.1,83.5,3,6.52,3.2,0.13,,,,,,,,,32.9,0
Dairy,2.2,87.4,3,6.72,6.4,0.16,,,,,,,,,31.5,0
Dairy,3.4,94.8,6,6.44,5.1,0.13,,,,,,,,,23.0,0
Dairy,2.0,87.9,6,6.79,4.0,0.13,,,,,,,,,23.4,0
Dairy,3.6,91.5,3,6.65,5.9,0.16,,,,,,,,,12.5,0
Dairy,6.2,86.3,5,6.44,6.9,0.13,,,,,,,,,12.2,0
Dairy,4.7,87.8,5,6.49,3.1,0.16,,,,,,,,,29.3,0
Dairy,3.0,93.1,3,6.59,3.2,0.17,,,,,,,,,32.1,0
Dairy,5.1,83.6,4,6.65,4.9,0.12,,,,,,,,,23.9,0
Dairy,5.5,94.2,5,6.57,6.0,0.13,,,,,,,,,27.6,0
Dairy,6.3,91.6,1,6.43,4.6,0.14,,,,,,,,,26.8,0
Dairy,6.3,84.3,5,6.77,6.4,0.13,,,,,,,,,23.2,0
Dairy,2.8,83.6,4,6.76,5.1,0.15,,,,,,,,,30.5,0
Dairy,2.8,80.3,6,6.63,4.0,0.16,,,,,,,,,33.9,0
Dairy,2.8,91.1,4,6.70,4.6,0.13,,,,,,,,,27.3,0
Dairy,4.0,80.3,3,6.75,4.4,0.15,,,,,,,,,20.1,0
Dairy,6.3,84.2,5,6.64,6.3,0.13,,,,,,,,,12.7,0
Dairy,3.9,83.6,6,6.49,4.2,0.16,,,,,,,,,30.5,0
Dairy,5.8,88.1,4,6.42,4.4,0.13,,,,,,,,,39.2,0
Dairy,3.2,89.6,2,6.50,5.8,0.15,,,,,,,,,19.0,0
Dairy,5.1,86.7,7,6.66,6.8,0.17,,,,,,,,,13.6,0
Dairy,2.4,84.5,3,6.62,5.7,0.14,,,,,,,,,22.9,0
Dairy,6.0,93.7,6,6.60,4.4,0.16,,,,,,,,,14.5,0
Dairy,5.7,80.2,4,6.59,5.0,0.14,,,,,,,,,15.8,0
Dairy,4.4,93.1,6,6.72,4.7,0.13,,,,,,,,,22.5,0
Dairy,5.0,88.8,5,6.73,6.1,0.16,,,,,,,,,31.7,0
Dairy,5.9,86.8,2,6.70,5.4,0.14,,,,,,,,,28.9,0
Dairy,3.8,91.7,5,6.43,6.1,0.15,,,,,,,,,19.9,0
Dairy,6.9,84.9,5,6.75,3.4,0.14,,,,,,,,,14.4,0
Dairy,4.0,87.8,4,6.44,4.6,0.14,,,,,,,,,33.3,0
Dairy,2.9,94.5,3,6.52,3.1,0.13,,,,,,,,,25.5,0
Dairy,4.4,84.1,3,6.64,3.7,0.14,,,,,,,,,16.2,0
Dairy,5.9,84.4,6,6.54,3.2,0.15,,,,,,,,,37.0,0
Dairy,5.8,86.8,5,6.42,6.2,0.12,,,,,,,,,10.8,0
Dairy,6.4,89.9,3,6.49,4.2,0.13,,,,,,,,,29.5,0
Dairy,2.3,84.7,3,6.64,3.1,0.12,,,,,,,,,10.6,0
Dairy,7.2,83.0,7,6.56,4.3,0.12,,,,,,,,,18.9,0
Dairy,17.8,85.4,25,4.21,5.7,0.39,,,,,,,,,65.8,1
Dairy,16.6,89.0,15,4.32,4.6,0.30,,,,,,,,,85.2,1
Dairy,20.3,81.6,22,4.53,5.2,0.33,,,,,,,,,85.5,1
Dairy,16.4,93.8,14,4.31,5.5,0.31,,,,,,,,,86.4,1
Dairy,16.2,89.2,20,5.14,5.4,0.34,,,,,,,,,73.4,1
